"cluster_id","cl_label","cluster_color","cluster_id.relaxed","cl_label.relaxed","cluster_color.relaxed","n_cells"
1,"LGd_Chrna6_Dscaml1","#FF0000",1,"LGd_Chrna6_Dscaml1","#FF0000",155
1,"LGd_Chrna6_Dscaml1","#FF0000",2,"LGd_Chrna6_Pax7","#FF00FF",5
1,"LGd_Chrna6_Dscaml1","#FF0000",3,"LGd_Chrna6_Plac9a","#8C6BB1",1
2,"LGd_Chrna6_Pax7","#FF00FF",1,"LGd_Chrna6_Dscaml1","#FF0000",9
2,"LGd_Chrna6_Pax7","#FF00FF",2,"LGd_Chrna6_Pax7","#FF00FF",151
3,"LGd_Chrna6_Plac9a","#8C6BB1",1,"LGd_Chrna6_Dscaml1","#FF0000",4
3,"LGd_Chrna6_Plac9a","#8C6BB1",2,"LGd_Chrna6_Pax7","#FF00FF",12
3,"LGd_Chrna6_Plac9a","#8C6BB1",3,"LGd_Chrna6_Plac9a","#8C6BB1",93
4,"LGd_LGv_Shox2_Sox14","#FFA500",4,"LGd_LGv_Shox2_Sox14_1","#FFA500",51
4,"LGd_LGv_Shox2_Sox14","#FFA500",4,"LGd_LGv_Shox2_Sox14_2","#ED9D12",10
4,"LGd_LGv_Shox2_Sox14","#FFA500",5,"LGd_LGv_Dlx5_Cbln2_1","#8E170E",1
4,"LGd_LGv_Shox2_Sox14","#FFA500",5,"LGd_LGv_Dlx5_Cbln2_2","#7B3213",2
5,"LGd_LGv_Dlx5_Cbln2","#8E170E",5,"LGd_LGv_Dlx5_Cbln2_1","#8E170E",62
5,"LGd_LGv_Dlx5_Cbln2","#8E170E",5,"LGd_LGv_Dlx5_Cbln2_2","#7B3213",13
6,"LGd_LGv_Gad2_Pvalb","#FFFF00",6,"LGd_LGv_Gad2_Pvalb","#FFFF00",43
7,"LGd_Gad2_Spata20","#E54E03",5,"LGd_LGv_Dlx5_Cbln2_1","#8E170E",1
7,"LGd_Gad2_Spata20","#E54E03",5,"LGd_LGv_Dlx5_Cbln2_2","#7B3213",5
7,"LGd_Gad2_Spata20","#E54E03",7,"LGd_Gad2_Spata20","#E54E03",20
8,"LGd_Gad2_Rspo2","#CDCD00",5,"LGd_LGv_Dlx5_Cbln2_2","#7B3213",1
8,"LGd_Gad2_Rspo2","#CDCD00",8,"LGd_Gad2_Rspo2","#CDCD00",20
9,"LGd_LGv_Shox2_Htr1a","#AA6600",5,"LGd_LGv_Dlx5_Cbln2_2","#7B3213",2
9,"LGd_LGv_Shox2_Htr1a","#AA6600",9,"LGd_LGv_Shox2_Htr1a","#AA6600",27
10,"LGd_Slc17a6_Scn4b","#0066FF",10,"LGd_Slc17a6_Scn4b_1","#0066FF",320
10,"LGd_Slc17a6_Scn4b","#0066FF",10,"LGd_Slc17a6_Scn4b_2","#0459E5",351
10,"LGd_Slc17a6_Scn4b","#0066FF",10,"LGd_Slc17a6_Scn4b_3","#1F54C8",283
10,"LGd_Slc17a6_Scn4b","#0066FF",11,"LP_Slc17a6_Glra3","#00FF00",3
11,"LP_Slc17a6_Glra3","#00FF00",11,"LP_Slc17a6_Glra3","#00FF00",53
12,"LGv_Slc17a7_Neurod6","#00FFFF",12,"LGv_Slc17a7_Neurod6","#00FFFF",14
13,"NN_Olig1_Opalin","#DDDDDD",13,"NN_Olig1_Opalin","#DDDDDD",47
14,"NN_OPC_Pdgfra","#AAAAAA",14,"NN_OPC_Pdgfra","#AAAAAA",27
15,"NN_Olig1_Rassf10","#777777",13,"NN_Olig1_Opalin","#DDDDDD",1
15,"NN_Olig1_Rassf10","#777777",15,"NN_Olig1_Rassf10","#777777",11
16,"NN_Micro_Ctss","#000000",16,"NN_Micro_Ctss","#000000",7
17,"NN_Astro_Gja1","#444444",14,"NN_OPC_Pdgfra","#AAAAAA",2
